participant_id,order,drawn_pixels,emotion,age_year,Cue,CueGroup,emotion_type,age_group,pixel_q10,cue_group,priority,list,filename
916814,1,3572,afraid,11,F,Only Face,basic,children,3118,face,NA,A,participant_916814_order_1_emotion_afraid.png
90545,9,15886,afraid,12,F,Only Face,basic,children,3118,face,NA,A,participant_90545_order_9_emotion_afraid.png
788358,1,5074,afraid,11,F,Only Face,basic,children,3118,face,NA,A,participant_788358_order_1_emotion_afraid.png
691760,1,3447,angry,10,F,Only Face,basic,children,3118,face,NA,A,participant_691760_order_1_emotion_angry.png
907090,5,7889,angry,9,F,Only Face,basic,children,3118,face,NA,A,participant_907090_order_5_emotion_angry.png
519207,3,5438,angry,9,F,Only Face,basic,children,3118,face,NA,A,participant_519207_order_3_emotion_angry.png
907090,3,5672,ashamed,9,F,Only Face,self-conscious,children,3118,face,NA,A,participant_907090_order_3_emotion_ashamed.png
691760,5,4038,ashamed,10,F,Only Face,self-conscious,children,3118,face,NA,A,participant_691760_order_5_emotion_ashamed.png
519207,6,5275,ashamed,9,F,Only Face,self-conscious,children,3118,face,NA,A,participant_519207_order_6_emotion_ashamed.png
409480,8,8780,disgusted,9,F,Only Face,basic,children,3118,face,NA,A,participant_409480_order_8_emotion_disgusted.png
145020,5,7208,disgusted,9,F,Only Face,basic,children,3118,face,NA,A,participant_145020_order_5_emotion_disgusted.png
378519,4,12489,disgusted,11,F,Only Face,basic,children,3118,face,NA,A,participant_378519_order_4_emotion_disgusted.png
788358,8,4553,embarrassed,11,F,Only Face,self-conscious,children,3118,face,NA,A,participant_788358_order_8_emotion_embarrassed.png
398315,2,18153,embarrassed,10,F,Only Face,self-conscious,children,3118,face,NA,A,participant_398315_order_2_emotion_embarrassed.png
136928,7,6818,embarrassed,11,F,Only Face,self-conscious,children,3118,face,NA,A,participant_136928_order_7_emotion_embarrassed.png
90545,6,14523,guilty,12,F,Only Face,self-conscious,children,3118,face,NA,A,participant_90545_order_6_emotion_guilty.png
136928,2,9211,guilty,11,F,Only Face,self-conscious,children,3118,face,NA,A,participant_136928_order_2_emotion_guilty.png
409480,3,9883,guilty,9,F,Only Face,self-conscious,children,3118,face,NA,A,participant_409480_order_3_emotion_guilty.png
173534,3,6977,happy,9,F,Only Face,basic,children,3118,face,NA,A,participant_173534_order_3_emotion_happy.png
519207,5,7673,happy,9,F,Only Face,basic,children,3118,face,NA,A,participant_519207_order_5_emotion_happy.png
90545,3,17150,happy,12,F,Only Face,basic,children,3118,face,NA,A,participant_90545_order_3_emotion_happy.png
145020,7,3577,jealous,9,F,Only Face,self-conscious,children,3118,face,NA,A,participant_145020_order_7_emotion_jealous.png
378519,1,9361,jealous,11,F,Only Face,self-conscious,children,3118,face,NA,A,participant_378519_order_1_emotion_jealous.png
204723,9,6105,jealous,9,F,Only Face,self-conscious,children,3118,face,NA,A,participant_204723_order_9_emotion_jealous.png
136928,3,12345,proud,11,F,Only Face,self-conscious,children,3118,face,NA,A,participant_136928_order_3_emotion_proud.png
928095,3,4607,proud,11,F,Only Face,self-conscious,children,3118,face,NA,A,participant_928095_order_3_emotion_proud.png
968720,10,4556,proud,11,F,Only Face,self-conscious,children,3118,face,NA,A,participant_968720_order_10_emotion_proud.png
173534,1,7932,sad,9,F,Only Face,basic,children,3118,face,NA,A,participant_173534_order_1_emotion_sad.png
204723,7,7339,sad,9,F,Only Face,basic,children,3118,face,NA,A,participant_204723_order_7_emotion_sad.png
916814,9,4065,sad,11,F,Only Face,basic,children,3118,face,NA,A,participant_916814_order_9_emotion_sad.png
204723,8,4608,afraid,9,FB,Other,basic,children,3118,context,NA,A,participant_204723_order_8_emotion_afraid.png
398315,7,24069,afraid,10,FBC,Other,basic,children,3118,context,NA,A,participant_398315_order_7_emotion_afraid.png
988021,5,9148,afraid,9,FBC,Other,basic,children,3118,context,NA,A,participant_988021_order_5_emotion_afraid.png
491266,2,43951,angry,10,FBC,Other,basic,children,3118,context,NA,A,participant_491266_order_2_emotion_angry.png
296038,6,6515,angry,9,FBC,Other,basic,children,3118,context,NA,A,participant_296038_order_6_emotion_angry.png
90545,8,21461,angry,12,FC,Other,basic,children,3118,context,NA,A,participant_90545_order_8_emotion_angry.png
411345,2,3645,ashamed,9,FC,Other,self-conscious,children,3118,context,NA,A,participant_411345_order_2_emotion_ashamed.png
253551,1,13911,ashamed,10,FC,Other,self-conscious,children,3118,context,NA,A,participant_253551_order_1_emotion_ashamed.png
398315,5,31368,ashamed,10,FC,Other,self-conscious,children,3118,context,NA,A,participant_398315_order_5_emotion_ashamed.png
799644,4,10201,disgusted,9,FBC,Other,basic,children,3118,context,NA,A,participant_799644_order_4_emotion_disgusted.png
964133,9,9159,disgusted,9,FB,Other,basic,children,3118,context,NA,A,participant_964133_order_9_emotion_disgusted.png
748826,5,33270,disgusted,11,FC,Other,basic,children,3118,context,NA,A,participant_748826_order_5_emotion_disgusted.png
273674,6,40308,embarrassed,9,FB,Other,self-conscious,children,3118,context,NA,A,participant_273674_order_6_emotion_embarrassed.png
87795,8,8632,embarrassed,10,FB,Other,self-conscious,children,3118,context,NA,A,participant_87795_order_8_emotion_embarrassed.png
988021,10,12721,embarrassed,9,FBC,Other,self-conscious,children,3118,context,NA,A,participant_988021_order_10_emotion_embarrassed.png
916814,7,4826,guilty,11,FC,Other,self-conscious,children,3118,context,NA,A,participant_916814_order_7_emotion_guilty.png
87795,3,5088,guilty,10,FC,Other,self-conscious,children,3118,context,NA,A,participant_87795_order_3_emotion_guilty.png
253551,5,21001,guilty,10,FC,Other,self-conscious,children,3118,context,NA,A,participant_253551_order_5_emotion_guilty.png
411345,5,3215,happy,9,FC,Other,basic,children,3118,context,NA,A,participant_411345_order_5_emotion_happy.png
748826,6,14245,happy,11,FC,Other,basic,children,3118,context,NA,A,participant_748826_order_6_emotion_happy.png
935254,6,6984,happy,12,FBC,Other,basic,children,3118,context,NA,A,participant_935254_order_6_emotion_happy.png
996974,3,5107,jealous,9,FC,Other,self-conscious,children,3118,context,NA,A,participant_996974_order_3_emotion_jealous.png
935254,1,4711,jealous,12,FB,Other,self-conscious,children,3118,context,NA,A,participant_935254_order_1_emotion_jealous.png
243778,8,9845,jealous,10,FBC,Other,self-conscious,children,3118,context,NA,A,participant_243778_order_8_emotion_jealous.png
707600,3,23399,proud,11,FC,Other,self-conscious,children,3118,context,NA,A,participant_707600_order_3_emotion_proud.png
447252,4,8758,proud,9,FBC,Other,self-conscious,children,3118,context,NA,A,participant_447252_order_4_emotion_proud.png
799644,3,4383,proud,9,FBC,Other,self-conscious,children,3118,context,NA,A,participant_799644_order_3_emotion_proud.png
253551,10,23019,sad,10,FC,Other,basic,children,3118,context,NA,A,participant_253551_order_10_emotion_sad.png
282376,7,6157,sad,12,FBC,Other,basic,children,3118,context,NA,A,participant_282376_order_7_emotion_sad.png
988021,8,4389,sad,9,FB,Other,basic,children,3118,context,NA,A,participant_988021_order_8_emotion_sad.png
696273,10,6037,afraid,18,F,Only Face,basic,adults,3912.65,face,NA,A,participant_696273_order_10_emotion_afraid.png
678663,7,10929,afraid,18,F,Only Face,basic,adults,3912.65,face,NA,A,participant_678663_order_7_emotion_afraid.png
553504,6,16705,afraid,18,F,Only Face,basic,adults,3912.65,face,NA,A,participant_553504_order_6_emotion_afraid.png
696273,4,6292,angry,18,F,Only Face,basic,adults,3912.65,face,NA,A,participant_696273_order_4_emotion_angry.png
678663,1,12133,angry,18,F,Only Face,basic,adults,3912.65,face,NA,A,participant_678663_order_1_emotion_angry.png
400785,2,12273,angry,18,F,Only Face,basic,adults,3912.65,face,NA,A,participant_400785_order_2_emotion_angry.png
883348,4,7342,ashamed,18,F,Only Face,self-conscious,adults,3912.65,face,NA,A,participant_883348_order_4_emotion_ashamed.png
87325,3,4611,ashamed,18,F,Only Face,self-conscious,adults,3912.65,face,NA,A,participant_87325_order_3_emotion_ashamed.png
825649,1,8670,ashamed,18,F,Only Face,self-conscious,adults,3912.65,face,NA,A,participant_825649_order_1_emotion_ashamed.png
400785,3,11316,disgusted,18,F,Only Face,basic,adults,3912.65,face,NA,A,participant_400785_order_3_emotion_disgusted.png
985084,9,9948,disgusted,18,F,Only Face,basic,adults,3912.65,face,NA,A,participant_985084_order_9_emotion_disgusted.png
765998,10,8611,disgusted,18,F,Only Face,basic,adults,3912.65,face,NA,A,participant_765998_order_10_emotion_disgusted.png
678663,8,12052,embarrassed,18,F,Only Face,self-conscious,adults,3912.65,face,NA,A,participant_678663_order_8_emotion_embarrassed.png
327973,1,6331,embarrassed,18,F,Only Face,self-conscious,adults,3912.65,face,NA,A,participant_327973_order_1_emotion_embarrassed.png
985084,7,8433,embarrassed,18,F,Only Face,self-conscious,adults,3912.65,face,NA,A,participant_985084_order_7_emotion_embarrassed.png
305314,10,4080,guilty,18,F,Only Face,self-conscious,adults,3912.65,face,NA,A,participant_305314_order_10_emotion_guilty.png
289142,8,9024,guilty,18,F,Only Face,self-conscious,adults,3912.65,face,NA,A,participant_289142_order_8_emotion_guilty.png
230817,8,4444,guilty,18,F,Only Face,self-conscious,adults,3912.65,face,NA,A,participant_230817_order_8_emotion_guilty.png
802696,2,14609,happy,18,F,Only Face,basic,adults,3912.65,face,NA,A,participant_802696_order_2_emotion_happy.png
492767,5,11591,happy,18,F,Only Face,basic,adults,3912.65,face,NA,A,participant_492767_order_5_emotion_happy.png
400785,10,13023,happy,18,F,Only Face,basic,adults,3912.65,face,NA,A,participant_400785_order_10_emotion_happy.png
621488,10,11576,jealous,18,F,Only Face,self-conscious,adults,3912.65,face,NA,A,participant_621488_order_10_emotion_jealous.png
633527,9,4818,jealous,18,F,Only Face,self-conscious,adults,3912.65,face,NA,A,participant_633527_order_9_emotion_jealous.png
98720,1,10194,jealous,18,F,Only Face,self-conscious,adults,3912.65,face,NA,A,participant_98720_order_1_emotion_jealous.png
992185,1,6584,proud,18,F,Other,self-conscious,adults,3912.65,face,NA,A,participant_992185_order_1_emotion_proud.png
802696,10,9185,proud,18,F,Only Face,self-conscious,adults,3912.65,face,NA,A,participant_802696_order_10_emotion_proud.png
289473,4,18081,proud,18,F,Only Face,self-conscious,adults,3912.65,face,NA,A,participant_289473_order_4_emotion_proud.png
553504,8,15145,sad,18,F,Only Face,basic,adults,3912.65,face,NA,A,participant_553504_order_8_emotion_sad.png
696273,5,7373,sad,18,F,Only Face,basic,adults,3912.65,face,NA,A,participant_696273_order_5_emotion_sad.png
961209,3,6266,sad,18,F,Only Face,basic,adults,3912.65,face,NA,A,participant_961209_order_3_emotion_sad.png
147077,6,5879,afraid,18,FBC,Other,basic,adults,3912.65,context,1,A,participant_147077_order_6_emotion_afraid.png
172734,4,6488,afraid,18,FBC,Other,basic,adults,3912.65,context,1,A,participant_172734_order_4_emotion_afraid.png
182026,8,42084,afraid,18,FBC,Other,basic,adults,3912.65,context,1,A,participant_182026_order_8_emotion_afraid.png
101283,9,58471,angry,18,FB,Other,basic,adults,3912.65,context,2,A,participant_101283_order_9_emotion_angry.png
127713,4,10880,angry,18,FB,Other,basic,adults,3912.65,context,2,A,participant_127713_order_4_emotion_angry.png
147077,2,13000,angry,18,FB,Other,basic,adults,3912.65,context,2,A,participant_147077_order_2_emotion_angry.png
182026,1,13469,ashamed,18,FBC,Other,self-conscious,adults,3912.65,context,1,A,participant_182026_order_1_emotion_ashamed.png
237337,2,12286,ashamed,18,FBC,Other,self-conscious,adults,3912.65,context,1,A,participant_237337_order_2_emotion_ashamed.png
237656,8,8067,ashamed,18,FBC,Other,self-conscious,adults,3912.65,context,1,A,participant_237656_order_8_emotion_ashamed.png
182026,7,16034,disgusted,18,FBC,Other,basic,adults,3912.65,context,1,A,participant_182026_order_7_emotion_disgusted.png
230817,9,11775,disgusted,18,FC,Other,basic,adults,3912.65,context,1,A,participant_230817_order_9_emotion_disgusted.png
237656,6,3993,disgusted,18,FBC,Other,basic,adults,3912.65,context,1,A,participant_237656_order_6_emotion_disgusted.png
182026,10,18479,embarrassed,18,FBC,Other,self-conscious,adults,3912.65,context,1,A,participant_182026_order_10_emotion_embarrassed.png
237337,4,25582,embarrassed,18,FBC,Other,self-conscious,adults,3912.65,context,1,A,participant_237337_order_4_emotion_embarrassed.png
127713,5,9574,embarrassed,18,FB,Other,self-conscious,adults,3912.65,context,2,A,participant_127713_order_5_emotion_embarrassed.png
147077,5,15535,guilty,18,FBC,Other,self-conscious,adults,3912.65,context,1,A,participant_147077_order_5_emotion_guilty.png
237337,1,25964,guilty,18,FC,Other,self-conscious,adults,3912.65,context,1,A,participant_237337_order_1_emotion_guilty.png
101877,7,18063,guilty,18,FB,Other,self-conscious,adults,3912.65,context,2,A,participant_101877_order_7_emotion_guilty.png
237337,10,8630,happy,18,FBC,Other,basic,adults,3912.65,context,1,A,participant_237337_order_10_emotion_happy.png
476390,9,7785,happy,18,FBC,Other,basic,adults,3912.65,context,1,A,participant_476390_order_9_emotion_happy.png
553504,9,19194,happy,18,FC,Other,basic,adults,3912.65,context,1,A,participant_553504_order_9_emotion_happy.png
237337,9,17684,jealous,18,FBC,Other,self-conscious,adults,3912.65,context,1,A,participant_237337_order_9_emotion_jealous.png
237656,3,6457,jealous,18,FBC,Other,self-conscious,adults,3912.65,context,1,A,participant_237656_order_3_emotion_jealous.png
