participant_id,order,drawn_pixels,emotion,age_year,Cue,CueGroup,emotion_type,age_group,pixel_q10,cue_group,priority,list,filename
88052,1,8624,afraid,11,F,Only Face,basic,children,3118,face,NA,B,participant_88052_order_1_emotion_afraid.png
691760,2,4458,afraid,10,F,Only Face,basic,children,3118,face,NA,B,participant_691760_order_2_emotion_afraid.png
253551,6,9343,afraid,10,F,Only Face,basic,children,3118,face,NA,B,participant_253551_order_6_emotion_afraid.png
928095,4,7209,angry,11,F,Only Face,basic,children,3118,face,NA,B,participant_928095_order_4_emotion_angry.png
145020,3,5135,angry,9,F,Only Face,basic,children,3118,face,NA,B,participant_145020_order_3_emotion_angry.png
935254,5,3724,angry,12,F,Only Face,basic,children,3118,face,NA,B,participant_935254_order_5_emotion_angry.png
409480,2,18444,ashamed,9,F,Only Face,self-conscious,children,3118,face,NA,B,participant_409480_order_2_emotion_ashamed.png
88052,7,14491,ashamed,11,F,Only Face,self-conscious,children,3118,face,NA,B,participant_88052_order_7_emotion_ashamed.png
179905,2,5815,ashamed,10,F,Only Face,self-conscious,children,3118,face,NA,B,participant_179905_order_2_emotion_ashamed.png
136928,5,8843,disgusted,11,F,Only Face,basic,children,3118,face,NA,B,participant_136928_order_5_emotion_disgusted.png
204723,6,7157,disgusted,9,F,Only Face,basic,children,3118,face,NA,B,participant_204723_order_6_emotion_disgusted.png
907090,9,6582,disgusted,9,F,Only Face,basic,children,3118,face,NA,B,participant_907090_order_9_emotion_disgusted.png
411345,10,7641,embarrassed,9,F,Only Face,self-conscious,children,3118,face,NA,B,participant_411345_order_10_emotion_embarrassed.png
691760,9,5112,embarrassed,10,F,Only Face,self-conscious,children,3118,face,NA,B,participant_691760_order_9_emotion_embarrassed.png
179905,8,6843,embarrassed,10,F,Only Face,self-conscious,children,3118,face,NA,B,participant_179905_order_8_emotion_embarrassed.png
907090,1,6003,guilty,9,F,Only Face,self-conscious,children,3118,face,NA,B,participant_907090_order_1_emotion_guilty.png
179905,6,4407,guilty,10,F,Only Face,self-conscious,children,3118,face,NA,B,participant_179905_order_6_emotion_guilty.png
378519,2,4645,guilty,11,F,Only Face,self-conscious,children,3118,face,NA,B,participant_378519_order_2_emotion_guilty.png
145020,6,4685,happy,9,F,Only Face,basic,children,3118,face,NA,B,participant_145020_order_6_emotion_happy.png
916814,5,3486,happy,11,F,Only Face,basic,children,3118,face,NA,B,participant_916814_order_5_emotion_happy.png
136928,6,9414,happy,11,F,Only Face,basic,children,3118,face,NA,B,participant_136928_order_6_emotion_happy.png
907090,7,5768,jealous,9,F,Only Face,self-conscious,children,3118,face,NA,B,participant_907090_order_7_emotion_jealous.png
409480,4,17730,jealous,9,F,Only Face,self-conscious,children,3118,face,NA,B,participant_409480_order_4_emotion_jealous.png
136928,10,8853,jealous,11,F,Only Face,self-conscious,children,3118,face,NA,B,participant_136928_order_10_emotion_jealous.png
409480,9,15653,proud,9,F,Only Face,self-conscious,children,3118,face,NA,B,participant_409480_order_9_emotion_proud.png
145020,8,4789,proud,9,F,Only Face,self-conscious,children,3118,face,NA,B,participant_145020_order_8_emotion_proud.png
907090,4,5246,proud,9,F,Only Face,self-conscious,children,3118,face,NA,B,participant_907090_order_4_emotion_proud.png
409480,7,9407,sad,9,F,Only Face,basic,children,3118,face,NA,B,participant_409480_order_7_emotion_sad.png
691760,4,4654,sad,10,F,Only Face,basic,children,3118,face,NA,B,participant_691760_order_4_emotion_sad.png
411345,9,4009,sad,9,F,Only Face,basic,children,3118,face,NA,B,participant_411345_order_9_emotion_sad.png
296038,8,6004,afraid,9,FBC,Other,basic,children,3118,context,NA,B,participant_296038_order_8_emotion_afraid.png
545356,4,10945,afraid,9,FB,Other,basic,children,3118,context,NA,B,participant_545356_order_4_emotion_afraid.png
519207,7,6611,afraid,9,FC,Other,basic,children,3118,context,NA,B,participant_519207_order_7_emotion_afraid.png
979295,9,16050,angry,10,FC,Other,basic,children,3118,context,NA,B,participant_979295_order_9_emotion_angry.png
707600,9,26213,angry,11,FBC,Other,basic,children,3118,context,NA,B,participant_707600_order_9_emotion_angry.png
799644,5,6420,angry,9,FB,Other,basic,children,3118,context,NA,B,participant_799644_order_5_emotion_angry.png
545356,1,10926,ashamed,9,FB,Other,self-conscious,children,3118,context,NA,B,participant_545356_order_1_emotion_ashamed.png
935254,7,6249,ashamed,12,FB,Other,self-conscious,children,3118,context,NA,B,participant_935254_order_7_emotion_ashamed.png
748826,3,9454,ashamed,11,FC,Other,self-conscious,children,3118,context,NA,B,participant_748826_order_3_emotion_ashamed.png
545356,6,10680,disgusted,9,FB,Other,basic,children,3118,context,NA,B,participant_545356_order_6_emotion_disgusted.png
788358,10,4104,disgusted,11,FC,Other,basic,children,3118,context,NA,B,participant_788358_order_10_emotion_disgusted.png
243778,6,12666,disgusted,10,FBC,Other,basic,children,3118,context,NA,B,participant_243778_order_6_emotion_disgusted.png
799644,1,3164,embarrassed,9,FB,Other,self-conscious,children,3118,context,NA,B,participant_799644_order_1_emotion_embarrassed.png
243778,3,4004,embarrassed,10,FBC,Other,self-conscious,children,3118,context,NA,B,participant_243778_order_3_emotion_embarrassed.png
